Data category	Type of code	Application	Old	Major	Old	Minor	Description
Hypsography	Feature identification	Nodes		020		NONE	
		Areas		020		0100	Void area
		Lines		020		0200	Contour (index or intermediate)
						0201	Carrying contour
						0202	Supplementary contour
						0203	Continuation contour
						0204	Amended contour
						0205	Bathymetric contour
					*	0206	Depth curve
						0207	Watershed divides
						0208	Closure line
		Points		020		0300	Spot elevation, less than
		(degenerate lines)					third order
				020		0301	Spot elevation, less than
							third order, not at ground
							level.
		Multiple element		020		NONE	
		types					
	Descriptive	Multiple element		020		0600-	Decimal fractions of feet
		types				0609	or meters
						0610	Approximate
						0611	Depression
						0612	Glacier or snow field
						0613	Underwater
						0614	Best estimate of contour
							elevation value
				020		0000	Photorevised feature
Hypsography	Parameter	Multiple element		02N		----	Elevation in whole feet or
(cont'd.)		types					meters, right-justified
				026		00--	Major category associated
							with a spot height, not at
							ground elevation.
				029		00--	Coincident feature
Hydrography	Feature identification	Nodes		050		0001	Upper origin of stream
						0002	Upper origin of stream at water body
						0003	Sink, channel no longer evident
						0004	Stream entering water body
						0005	Steam exiting water body
		Areas		050		0100	Alkali flat
						0101	Reservoir
						0102	Covered reservoir
						0103	Glacier or permanent snowfield
						0104	Salt evaporator
						0105	Inundation area
						0106	Fish hatchery or farm
						0107	Industrial water impoundment
						0108	Area to be submerged
						0109	Sewage disposal pond or
							filtration beds
						0110	Tailings pond
						0111	Marsh, wetland, swamp, bog
						0112	Mangrove area
						0113	Rice field
						0114	Cranberry bog
						0115	Flats (tidal, mud, sand, gravel)
						0116	Bays, estuaries, gulfs, oceans, seas
						0117	Shoal
						0118	Soda evaporator
						0119	Duck Pond
						0120	Void area
Hydrography	Feature identification	Lines		050		0200	Shoreline
(cont'd.)	(cont'd.)					0201	Manmade shoreline
						0202	Closure line
						0203	Indefinite shoreline
						0204	Apparent limit
						0205	Outline of a Carolina bay
						0206	Danger Curve
						0207	Apparent shoreline
		Points		050		0300	Spring
						0301	Non-flowing well
						0302	Flowing well
						0303	Riser
						0304	Geyser
						0305	Windmill
						0306	Cistern
		Multiple element		050		0400	Rapids
		types				0401	Falls
						0402	Gravel pit or quarry filled with water
						0403	Gaging station
						0404	Pumping station
						0405	Water intake
						0406	Dam or weir
						0407	Canal lock or sluice gate
						0408	Spillway
						0409	Gate (flood, tidal, head, check)
						0410	Rock
						0411	Crevasse
						0412	Stream
						0413	Braided stream
						0414	Ditch or canal
						0415	Aqueduct
						0416	Flume
						0417	Penstock
						0418	Siphon
						0419	Channel in water area
Hydrography	Feature identification	Multiple element		050		0420	Wash or ephemeral drain
(cont'd.)	(cont'd.)	types (cont'd.)				0421	Lake or pond
						0422	Coral reef
						0423	Sand in open water
						0424	Spoil area
						0425	Fish ladders
						0426	Holiday area
	Descriptive	Multiple element		050		0601	Underground
		types				0602	Overpassing
						0603	Elevated
						0604	Tunnel
						0605	Right bank
						0606	Left bank
						0607	Under construction
						0608	Salt
						0609	Unsurveyed
						0610	Intermittent
						0611	Abandoned or discontinued
						0612	Submerged or sunken
					*	0613	Wooded
						0614	Dry
						0615	Mineral or hot (sulphur, alkali, etc.)
						0616	Navigable, transportation
						0617	Underpassing
						0618	Earthen construction
						0619	Interpolated elevation
						0621-	Decimal fractions of feet or meters
						0629	
				050		0000	Photorevised feature
	Parameter	Multiple element		05N		----	Water surface elevation, actual or
							types interpolated, N=1 for feet,
							2 for meters, 6 for feet below datum,
							and 7 for meters below datum.
							Elevation value in four spaces,
							right justified.
Hydrography	Parameter (cont'd.)	Multiple element		053		0---	Angle of clockwise rotation (nearest
(cont'd.)		types (cont'd)					whole degree)
				055		----	River mile, value in four spaces,
							right justified
				058		0000	Best estimate of classification
							or position
				059		00--	Coincident feature
Boundaries	Feature identification	Nodes		090		0001	Monumented point on a boundary
		Areas		090		0100	Civil township, district, precinct,
							or barrio
						0101	Incorporated city, village, town,
							borough, or hamlet
						0103	National park, monument, lakeshore,
							seashore, parkway, battlefield, or
							recreation area
						0104	National forest or grassland
						0105	National wildlife refuge, game
							preserve, or fish hatchery
						0106	National scenic waterway, riverway,
							wild and scenic river, or
							wilderness area
						0107	Indian reservation
						0108	Military reservation
						0110	Federal prison
						0111	Miscellaneous Federal reservation
						0129	Miscellaneous State reservation
						0130	State park, recreation area
							arboretum, or lake
						0131	State wildlife refuge, game preserve,
							or fish hatchery
						0132	State forest or grassland
						0133	State prison
						0134	County game preserve
Boundaries (cont'd.)	Feature identification	Areas (cont'd.)		090		0150	Large park (city, county, or private)
	(cont'd.)					0151	Small park (city, county, or private)
						0197	Canada
						0198	Mexico
						0199	Open water
